Enter client id: 787
Connected to the server.
Received ACK(1) from the server ('127.0.0.1', 4000).
Received ACK(2) from the server ('127.0.0.1', 4000).
Received ACK(3) from the server ('127.0.0.1', 4000).
Received ACK(4) from the server ('127.0.0.1', 4000).
Received ACK(5) from the server ('127.0.0.1', 4000).
Received ACK(6) from the server ('127.0.0.1', 4000).
Received ACK(7) from the server ('127.0.0.1', 4000).
Received ACK(8) from the server ('127.0.0.1', 4000).
Received ACK(9) from the server ('127.0.0.1', 4000).
Received ACK(10) from the server ('127.0.0.1', 4000).
Received ACK(11) from the server ('127.0.0.1', 4000).
Received ACK(12) from the server ('127.0.0.1', 4000).
Received ACK(13) from the server ('127.0.0.1', 4000).
Received ACK(14) from the server ('127.0.0.1', 4000).
Received ACK(15) from the server ('127.0.0.1', 4000).
Received ACK(16) from the server ('127.0.0.1', 4000).
Received ACK(17) from the server ('127.0.0.1', 4000).
Received ACK(18) from the server ('127.0.0.1', 4000).
Received ACK(19) from the server ('127.0.0.1', 4000).
Received ACK(20) from the server ('127.0.0.1', 4000).
Received ACK(21) from the server ('127.0.0.1', 4000).
Received ACK(22) from the server ('127.0.0.1', 4000).
Received ACK(23) from the server ('127.0.0.1', 4000).
Received ACK(24) from the server ('127.0.0.1', 4000).
Received ACK(25) from the server ('127.0.0.1', 4000).
Received ACK(26) from the server ('127.0.0.1', 4000).
Received ACK(27) from the server ('127.0.0.1', 4000).
Received ACK(28) from the server ('127.0.0.1', 4000).
Received ACK(29) from the server ('127.0.0.1', 4000).
Received ACK(30) from the server ('127.0.0.1', 4000).
Received ACK(31) from the server ('127.0.0.1', 4000).
Received ACK(32) from the server ('127.0.0.1', 4000).
Received ACK(33) from the server ('127.0.0.1', 4000).
Received ACK(34) from the server ('127.0.0.1', 4000).
Received ACK(35) from the server ('127.0.0.1', 4000).
Received ACK(36) from the server ('127.0.0.1', 4000).
Received ACK(37) from the server ('127.0.0.1', 4000).
Received ACK(38) from the server ('127.0.0.1', 4000).
Received ACK(39) from the server ('127.0.0.1', 4000).
Received ACK(40) from the server ('127.0.0.1', 4000).
Received ACK(41) from the server ('127.0.0.1', 4000).
Received ACK(42) from the server ('127.0.0.1', 4000).
Received ACK(43) from the server ('127.0.0.1', 4000).
Received ACK(44) from the server ('127.0.0.1', 4000).
Received ACK(45) from the server ('127.0.0.1', 4000).
Received ACK(46) from the server ('127.0.0.1', 4000).
Received ACK(47) from the server ('127.0.0.1', 4000).
Received ACK(48) from the server ('127.0.0.1', 4000).
Received ACK(49) from the server ('127.0.0.1', 4000).
Received ACK(50) from the server ('127.0.0.1', 4000).
Received ACK(51) from the server ('127.0.0.1', 4000).
Received ACK(52) from the server ('127.0.0.1', 4000).
Received ACK(53) from the server ('127.0.0.1', 4000).
Received ACK(54) from the server ('127.0.0.1', 4000).
Received ACK(55) from the server ('127.0.0.1', 4000).
Received ACK(56) from the server ('127.0.0.1', 4000).
Received ACK(57) from the server ('127.0.0.1', 4000).
Received ACK(58) from the server ('127.0.0.1', 4000).
Received ACK(59) from the server ('127.0.0.1', 4000).
Received ACK(60) from the server ('127.0.0.1', 4000).
Received ACK(61) from the server ('127.0.0.1', 4000).
Received ACK(62) from the server ('127.0.0.1', 4000).
Received ACK(63) from the server ('127.0.0.1', 4000).
Received ACK(64) from the server ('127.0.0.1', 4000).
Received ACK(65) from the server ('127.0.0.1', 4000).
Received ACK(66) from the server ('127.0.0.1', 4000).
Received ACK(67) from the server ('127.0.0.1', 4000).
Received ACK(68) from the server ('127.0.0.1', 4000).
Received ACK(69) from the server ('127.0.0.1', 4000).
Received ACK(70) from the server ('127.0.0.1', 4000).
Received ACK(71) from the server ('127.0.0.1', 4000).
Received ACK(72) from the server ('127.0.0.1', 4000).
Received ACK(73) from the server ('127.0.0.1', 4000).
Received ACK(74) from the server ('127.0.0.1', 4000).
Received ACK(75) from the server ('127.0.0.1', 4000).
Received ACK(76) from the server ('127.0.0.1', 4000).
Received ACK(77) from the server ('127.0.0.1', 4000).
Received ACK(78) from the server ('127.0.0.1', 4000).
Received ACK(79) from the server ('127.0.0.1', 4000).
Received ACK(80) from the server ('127.0.0.1', 4000).
Received ACK(81) from the server ('127.0.0.1', 4000).
Received ACK(82) from the server ('127.0.0.1', 4000).
Received ACK(83) from the server ('127.0.0.1', 4000).
Received ACK(84) from the server ('127.0.0.1', 4000).
Received ACK(85) from the server ('127.0.0.1', 4000).
Received ACK(86) from the server ('127.0.0.1', 4000).
Received ACK(87) from the server ('127.0.0.1', 4000).
Received ACK(88) from the server ('127.0.0.1', 4000).
Received ACK(89) from the server ('127.0.0.1', 4000).
Received ACK(90) from the server ('127.0.0.1', 4000).
Received ACK(91) from the server ('127.0.0.1', 4000).
Received ACK(92) from the server ('127.0.0.1', 4000).
Received ACK(93) from the server ('127.0.0.1', 4000).
Received ACK(94) from the server ('127.0.0.1', 4000).
Received ACK(95) from the server ('127.0.0.1', 4000).
Received ACK(96) from the server ('127.0.0.1', 4000).
Received ACK(97) from the server ('127.0.0.1', 4000).
Received ACK(98) from the server ('127.0.0.1', 4000).
Received ACK(99) from the server ('127.0.0.1', 4000).
Received ACK(100) from the server ('127.0.0.1', 4000).
Received ACK(101) from the server ('127.0.0.1', 4000).
Received ACK(102) from the server ('127.0.0.1', 4000).
Received ACK(103) from the server ('127.0.0.1', 4000).
Received ACK(104) from the server ('127.0.0.1', 4000).
Received ACK(105) from the server ('127.0.0.1', 4000).
Received ACK(106) from the server ('127.0.0.1', 4000).
Received ACK(107) from the server ('127.0.0.1', 4000).
Received ACK(108) from the server ('127.0.0.1', 4000).
Received ACK(109) from the server ('127.0.0.1', 4000).
Received ACK(110) from the server ('127.0.0.1', 4000).
Received ACK(111) from the server ('127.0.0.1', 4000).
Received ACK(112) from the server ('127.0.0.1', 4000).
Received ACK(113) from the server ('127.0.0.1', 4000).
Received ACK(114) from the server ('127.0.0.1', 4000).
Received ACK(115) from the server ('127.0.0.1', 4000).
Received ACK(116) from the server ('127.0.0.1', 4000).
Received ACK(117) from the server ('127.0.0.1', 4000).
Received ACK(118) from the server ('127.0.0.1', 4000).
Received ACK(119) from the server ('127.0.0.1', 4000).
Received ACK(120) from the server ('127.0.0.1', 4000).
Received ACK(121) from the server ('127.0.0.1', 4000).
Received ACK(122) from the server ('127.0.0.1', 4000).
Received ACK(123) from the server ('127.0.0.1', 4000).
Received ACK(124) from the server ('127.0.0.1', 4000).
Received ACK(125) from the server ('127.0.0.1', 4000).
Received ACK(126) from the server ('127.0.0.1', 4000).
Received ACK(127) from the server ('127.0.0.1', 4000).
Received ACK(128) from the server ('127.0.0.1', 4000).
Received ACK(129) from the server ('127.0.0.1', 4000).
Received ACK(130) from the server ('127.0.0.1', 4000).
Received ACK(131) from the server ('127.0.0.1', 4000).
Received ACK(132) from the server ('127.0.0.1', 4000).
Received ACK(133) from the server ('127.0.0.1', 4000).
Received ACK(134) from the server ('127.0.0.1', 4000).
Received ACK(135) from the server ('127.0.0.1', 4000).
Received ACK(136) from the server ('127.0.0.1', 4000).
Received ACK(137) from the server ('127.0.0.1', 4000).
Received ACK(138) from the server ('127.0.0.1', 4000).
Received ACK(139) from the server ('127.0.0.1', 4000).
Received ACK(140) from the server ('127.0.0.1', 4000).
Received ACK(141) from the server ('127.0.0.1', 4000).
Received ACK(142) from the server ('127.0.0.1', 4000).
Received ACK(143) from the server ('127.0.0.1', 4000).
Received ACK(144) from the server ('127.0.0.1', 4000).
Received ACK(145) from the server ('127.0.0.1', 4000).
Received ACK(146) from the server ('127.0.0.1', 4000).
Received ACK(147) from the server ('127.0.0.1', 4000).
Received ACK(148) from the server ('127.0.0.1', 4000).
Received ACK(149) from the server ('127.0.0.1', 4000).
Received ACK(150) from the server ('127.0.0.1', 4000).
Received ACK(151) from the server ('127.0.0.1', 4000).
Received ACK(152) from the server ('127.0.0.1', 4000).
Received ACK(153) from the server ('127.0.0.1', 4000).
Received ACK(154) from the server ('127.0.0.1', 4000).
Received ACK(155) from the server ('127.0.0.1', 4000).
Received ACK(156) from the server ('127.0.0.1', 4000).
Received ACK(157) from the server ('127.0.0.1', 4000).
Received ACK(158) from the server ('127.0.0.1', 4000).
Received ACK(159) from the server ('127.0.0.1', 4000).
Received ACK(160) from the server ('127.0.0.1', 4000).
Received ACK(161) from the server ('127.0.0.1', 4000).
Received ACK(162) from the server ('127.0.0.1', 4000).
Received ACK(163) from the server ('127.0.0.1', 4000).
Received ACK(164) from the server ('127.0.0.1', 4000).
Received ACK(165) from the server ('127.0.0.1', 4000).
Received ACK(166) from the server ('127.0.0.1', 4000).
Received ACK(167) from the server ('127.0.0.1', 4000).
Received ACK(168) from the server ('127.0.0.1', 4000).
Received ACK(169) from the server ('127.0.0.1', 4000).
Received ACK(170) from the server ('127.0.0.1', 4000).
Received ACK(171) from the server ('127.0.0.1', 4000).
Received ACK(172) from the server ('127.0.0.1', 4000).
Received ACK(173) from the server ('127.0.0.1', 4000).
Received ACK(174) from the server ('127.0.0.1', 4000).
Received ACK(175) from the server ('127.0.0.1', 4000).
Received ACK(176) from the server ('127.0.0.1', 4000).
Received ACK(177) from the server ('127.0.0.1', 4000).
Received ACK(178) from the server ('127.0.0.1', 4000).
Received ACK(179) from the server ('127.0.0.1', 4000).
Received ACK(180) from the server ('127.0.0.1', 4000).
Received ACK(181) from the server ('127.0.0.1', 4000).
Received ACK(182) from the server ('127.0.0.1', 4000).
Received ACK(183) from the server ('127.0.0.1', 4000).
Received ACK(184) from the server ('127.0.0.1', 4000).
Received ACK(185) from the server ('127.0.0.1', 4000).
